iter	Passed	Remaining
0	15	18509
1	24	14904
2	34	13651
3	43	12962
4	52	12614
5	62	12533
6	72	12323
7	81	12200
8	91	12156
9	101	12049
10	114	12368
11	126	12520
12	136	12473
13	149	12623
14	158	12530
15	175	12956
16	198	13838
17	219	14408
18	234	14571
19	244	14428
20	255	14350
21	266	14248
22	275	14111
23	285	14011
24	302	14201
25	312	14104
26	322	14017
27	334	14005
28	349	14122
29	361	14108
30	373	14072
31	385	14085
32	395	13974
33	404	13857
34	414	13781
35	423	13703
36	435	13676
37	446	13658
38	458	13662
39	468	13595
40	488	13822
41	502	13861
42	512	13794
43	523	13743
44	533	13684
45	542	13618
46	553	13586
47	564	13542
48	575	13517
49	585	13458
50	594	13404
51	604	13346
52	615	13321
53	625	13267
54	634	13212
55	644	13175
56	650	13049
57	661	13030
58	672	12998
59	682	12958
60	692	12930
61	702	12885
62	713	12874
63	723	12845
64	733	12804
65	746	12823
66	757	12809
67	771	12840
68	781	12806
69	791	12783
70	801	12748
71	810	12696
72	819	12648
73	829	12618
74	838	12576
75	847	12530
76	856	12493
77	865	12443
78	874	12410
79	883	12370
80	893	12336
81	902	12298
82	911	12266
83	923	12263
84	935	12278
85	948	12288
86	963	12322
87	972	12293
88	982	12264
89	991	12229
90	1000	12194
91	1010	12167
92	1021	12153
93	1030	12130
94	1040	12103
95	1049	12074
96	1059	12043
97	1068	12018
98	1078	11990
99	1087	11960
100	1097	11937
101	1105	11899
102	1115	11876
103	1125	11861
104	1134	11831
105	1145	11818
106	1154	11796
107	1163	11769
108	1173	11748
109	1183	11723
110	1192	11697
111	1201	11675
112	1211	11650
113	1220	11627
114	1229	11601
115	1238	11573
116	1248	11558
117	1257	11534
118	1267	11515
119	1277	11496
120	1288	11489
121	1299	11484
122	1309	11466
123	1319	11447
124	1332	11459
125	1341	11430
126	1350	11408
127	1359	11385
128	1368	11362
129	1377	11337
130	1385	11310
131	1395	11290
132	1405	11272
133	1415	11259
134	1425	11242
135	1434	11219
136	1443	11199
137	1453	11188
138	1464	11175
139	1474	11166
140	1486	11161
141	1497	11157
142	1508	11151
143	1519	11140
144	1530	11132
145	1540	11120
146	1550	11109
147	1565	11125
148	1575	11112
149	1585	11100
150	1595	11086
151	1605	11067
152	1614	11049
153	1624	11034
154	1635	11024
155	1646	11016
156	1656	11007
157	1667	10998
158	1677	10983
159	1687	10970
160	1697	10956
161	1708	10947
162	1717	10926
163	1728	10916
164	1738	10904
165	1749	10894
166	1759	10885
167	1770	10872
168	1779	10856
169	1789	10841
170	1800	10834
171	1810	10819
172	1820	10808
173	1831	10799
174	1842	10791
175	1853	10781
176	1862	10765
177	1872	10753
178	1882	10737
179	1892	10726
180	1902	10708
181	1911	10694
182	1921	10677
183	1931	10663
184	1940	10644
185	1949	10626
186	1959	10616
187	1969	10601
188	1978	10584
189	1987	10567
190	1997	10550
191	2007	10538
192	2017	10526
193	2026	10510
194	2035	10490
195	2043	10469
196	2052	10450
197	2061	10433
198	2070	10416
199	2080	10400
200	2089	10385
201	2102	10388
202	2113	10379
203	2122	10364
204	2131	10346
205	2139	10325
206	2149	10311
207	2158	10294
208	2167	10277
209	2176	10261
210	2185	10244
211	2195	10230
212	2203	10212
213	2213	10196
214	2222	10180
215	2231	10166
216	2241	10153
217	2250	10138
218	2260	10124
219	2270	10115
220	2282	10110
221	2295	10114
222	2304	10097
223	2316	10095
224	2328	10088
225	2337	10072
226	2349	10069
227	2360	10061
228	2370	10050
229	2380	10037
230	2391	10031
231	2401	10018
232	2409	9999
233	2417	9981
234	2426	9965
235	2436	9953
236	2448	9947
237	2458	9936
238	2467	9921
239	2477	9910
240	2486	9895
241	2495	9879
242	2505	9867
243	2514	9850
244	2523	9835
245	2532	9819
246	2540	9803
247	2549	9788
248	2558	9771
249	2567	9755
250	2576	9742
251	2585	9727
252	2596	9717
253	2604	9701
254	2613	9686
255	2622	9669
256	2631	9653
257	2639	9638
258	2648	9623
259	2657	9606
260	2665	9589
261	2674	9573
262	2683	9559
263	2692	9545
264	2701	9532
265	2709	9514
266	2719	9502
