iter	MultiClass
0	1.288145876
1	1.197265879
2	1.120846714
3	1.062001256
4	1.005476019
5	0.9543424281
6	0.9074671514
7	0.8637585377
8	0.8199561166
9	0.778837138
10	0.7473474244
11	0.7172940199
12	0.6922622283
13	0.6634909235
14	0.6423891596
15	0.6188779429
16	0.6014102507
17	0.5817799999
18	0.5673086543
19	0.5471861339
20	0.5310821627
21	0.5142379161
22	0.4971759707
23	0.4859858507
24	0.476261859
25	0.4660693472
26	0.45691605
27	0.4448571578
28	0.4328285387
29	0.4228092672
30	0.4136782199
31	0.4044902851
32	0.3945525345
33	0.3862691065
34	0.3793306434
35	0.3743545193
36	0.3679679704
37	0.3606211781
38	0.3547689308
39	0.3490285471
40	0.3434941152
41	0.3387924434
42	0.3333212515
43	0.3285243647
44	0.3233785884
45	0.3175333578
46	0.3119767419
47	0.3106612151
48	0.3065407694
49	0.3045613311
50	0.3011332092
51	0.2957861187
52	0.2930498309
53	0.29118004
54	0.2873046853
55	0.2830086198
56	0.2793143448
57	0.276475006
58	0.2731724272
59	0.2706875269
60	0.2673756187
61	0.2635987421
62	0.2615204562
63	0.2589724357
64	0.2569234143
65	0.2543258305
66	0.2523545605
67	0.2508924741
68	0.2498926214
69	0.2487583231
70	0.247683758
71	0.2469797662
72	0.2449369013
73	0.2431578917
74	0.2409559261
75	0.2380383243
76	0.2366787596
77	0.2349786877
78	0.2338973404
79	0.2325271308
80	0.2306441538
81	0.2278702415
82	0.2266560081
83	0.2244990649
84	0.2226142776
85	0.2209680336
86	0.2186164947
87	0.2177806652
88	0.2158879411
89	0.2149919035
90	0.2133599656
91	0.21231084
92	0.2103295585
93	0.2089930668
94	0.207837995
95	0.2062603465
96	0.2051324526
97	0.2041027436
98	0.2032896951
99	0.201296166
100	0.2003140163
101	0.1995051158
102	0.198553061
103	0.1978817018
104	0.1957792159
105	0.1948498314
106	0.1931967952
107	0.1921683044
108	0.1914018318
109	0.1906327459
110	0.1900049505
111	0.1890130112
112	0.1884061788
113	0.1879787968
114	0.1862311874
115	0.1845182217
116	0.1841555161
117	0.1822637745
118	0.1809153983
119	0.179841604
120	0.1785487852
121	0.1778742204
122	0.1761029483
123	0.1744794028
124	0.1735834
125	0.1730519084
126	0.1716027623
127	0.1704558593
128	0.1692493787
129	0.1678995378
130	0.1672794785
131	0.1660469024
132	0.1651980758
133	0.1638683356
134	0.1625644983
135	0.1608279697
136	0.1600404423
137	0.1592460013
138	0.1583688713
139	0.1573790292
140	0.1568287546
141	0.1561008595
142	0.155157964
143	0.1542337456
144	0.1534840254
145	0.1521771208
146	0.1514544032
147	0.1506000368
148	0.1502884995
149	0.1499890695
150	0.1495923272
151	0.148987826
152	0.1484769017
153	0.1479151734
154	0.1471255895
155	0.1463366521
156	0.1461071913
157	0.1449726649
158	0.1441558063
159	0.1436924525
160	0.1434262061
161	0.1432336841
162	0.1426066152
163	0.1415320487
164	0.1407824198
165	0.1397380228
166	0.1391428531
167	0.1388562958
168	0.1383540252
169	0.1378654372
170	0.1371317304
171	0.1368024954
172	0.1361662656
173	0.1356608401
174	0.1350293553
175	0.1348707957
176	0.1344122483
177	0.1339358907
178	0.1329639465
179	0.1324164986
180	0.1319943598
181	0.1316793123
182	0.1312241214
183	0.1309585958
184	0.1302744758
185	0.1297191368
186	0.1291871833
187	0.1284901689
188	0.1280375498
189	0.1276665557
190	0.1270540539
191	0.1263360329
192	0.1259231981
193	0.1255394931
194	0.1247762889
195	0.1242604239
196	0.1234697852
197	0.122759745
198	0.1224515253
199	0.1220311268
200	0.1215284822
201	0.1213941555
202	0.1209825403
203	0.1205829657
204	0.120202711
205	0.1195896258
206	0.1191204162
207	0.1187079637
208	0.1185007169
209	0.1181120928
210	0.1177164459
211	0.1172523243
212	0.1162601491
213	0.1156955583
214	0.1152486302
215	0.1149573205
216	0.1146803827
217	0.1143712877
218	0.1142097617
219	0.1135724672
220	0.1133352738
221	0.1125413253
222	0.112294242
223	0.1117518672
224	0.111489429
225	0.1112398706
226	0.1106900453
227	0.1103392891
228	0.1098305469
229	0.1093120982
230	0.1087689303
231	0.1083273917
232	0.1080230901
233	0.1074472633
234	0.1070453022
235	0.1066674663
236	0.1060982672
237	0.1058159508
238	0.1055282963
239	0.1049693135
240	0.1047561437
241	0.1043164571
242	0.1039111483
243	0.1035460708
244	0.1032801482
245	0.1028236776
246	0.1025990299
247	0.1022994097
248	0.1020922569
249	0.1016331463
250	0.1015406108
251	0.1012354208
252	0.101049788
253	0.1006266091
254	0.1001029007
255	0.09986743938
256	0.09944938682
257	0.09912923148
258	0.09872753169
259	0.09839549199
260	0.09805777117
261	0.09767851603
262	0.09749383169
