iter	Passed	Remaining
0	18	21440
1	35	20879
2	54	21588
3	71	21328
4	122	29053
5	139	27571
6	162	27476
7	210	31091
8	229	30141
9	247	29257
10	271	29055
11	294	28867
12	315	28562
13	337	28320
14	357	28023
15	378	27749
16	398	27518
17	410	26744
18	421	26001
19	436	25543
20	450	25063
21	463	24596
22	475	24132
23	487	23664
24	501	23375
25	515	23098
26	526	22668
27	537	22304
28	548	21958
29	560	21681
30	614	22971
31	634	22956
32	653	22916
33	678	23080
34	691	22828
35	701	22500
36	714	22250
37	1646	49929
38	1660	48997
39	1673	48103
40	1683	47185
41	1693	46276
42	2205	58838
43	2810	73192
44	2828	71957
45	2840	70651
46	2858	69518
47	2869	68270
48	2916	67919
49	2983	68019
50	3035	67793
51	3094	67717
52	3114	66808
53	3149	66266
54	3165	65320
55	3247	65754
56	3267	64940
57	3286	64140
58	3339	64007
59	3369	63460
60	3389	62732
61	3408	62015
62	3467	62029
63	3487	61353
64	3523	60987
65	3546	60394
66	3567	59788
67	3584	59152
68	3606	58599
69	3644	58306
70	3659	57674
71	3676	57084
72	3696	56555
73	3717	56064
74	3735	55529
75	3771	55279
76	3784	54709
77	3820	54469
78	3846	54091
79	3881	53859
80	3893	53302
81	3908	52808
82	3944	52604
83	3964	52199
84	3981	51760
85	4012	51513
86	4024	51025
87	4066	50921
88	4090	50604
89	4132	50510
90	4156	50193
91	4212	50276
92	4229	49891
93	4263	49707
94	4311	49695
95	4384	49965
96	4402	49603
97	4439	49467
98	4480	49376
99	4516	49225
100	4563	49207
101	4584	48902
102	4694	49544
103	4713	49224
104	4762	49214
105	4803	49117
106	4861	49207
107	4877	48863
108	4896	48559
109	4905	48166
110	4914	47776
111	4924	47398
112	4936	47047
113	4947	46701
114	4959	46363
115	4969	46012
116	4980	45672
117	4989	45328
118	4998	44989
119	5007	44651
120	5017	44324
121	5025	43995
122	5036	43693
123	5047	43396
124	5056	43084
125	5065	42775
126	5075	42483
127	5085	42192
128	5094	41901
129	5103	41609
130	5114	41342
131	5133	41149
132	5146	40903
133	5156	40639
134	5165	40366
135	5176	40119
136	5186	39863
137	5196	39614
138	5238	39610
139	5256	39420
140	5274	39243
141	5293	39065
142	5360	39250
143	5380	39085
144	5468	39414
145	5490	39262
146	5523	39192
147	5610	39498
148	5657	39528
149	5736	39776
150	5762	39653
151	5780	39473
152	5846	39629
153	5863	39446
154	5898	39388
155	5963	39529
156	6083	40029
157	6191	40438
158	6239	40458
159	6294	40522
160	6313	40352
161	6362	40377
162	6421	40462
163	6513	40746
164	6584	40900
165	6638	40948
166	6707	41090
167	6741	41009
168	6764	40869
169	6783	40701
170	6872	40953
171	6894	40804
172	6985	41066
173	7040	41108
174	7121	41304
175	7199	41477
176	7315	41867
177	7339	41728
178	7426	41946
179	7479	41967
180	7541	42038
181	7650	42369
182	7766	42736
183	7796	42628
184	7890	42866
185	7913	42714
186	8025	43044
187	8104	43196
188	8204	43455
189	8310	43740
190	8336	43603
191	8386	43593
192	8429	43544
193	8496	43620
194	8542	43587
195	8662	43931
196	8687	43788
197	8793	44058
198	8813	43891
199	8909	44104
200	8928	43932
201	8947	43761
202	9015	43834
203	9135	44152
204	9162	44023
205	9180	43854
206	9204	43709
207	9221	43536
208	9232	43334
209	9243	43136
210	9255	42941
211	9265	42745
212	9275	42545
213	9287	42355
214	9296	42160
215	9308	41975
216	9321	41794
217	9332	41611
218	9343	41427
219	9353	41241
220	9363	41054
221	9373	40871
222	9382	40687
223	9392	40503
224	9401	40320
225	9412	40146
226	9424	39980
227	9434	39807
228	9444	39634
229	9455	39466
230	9464	39292
231	9474	39122
232	9483	38952
233	9493	38783
234	9503	38618
235	9512	38454
236	9523	38293
237	9532	38129
238	9542	37968
239	9551	37808
240	9561	37649
241	9570	37491
242	9596	37399
243	9785	37939
244	9892	38156
245	9987	38327
246	10015	38235
247	10168	38625
248	10189	38509
249	10238	38495
250	10277	38446
251	10298	38335
252	10317	38211
253	10361	38184
254	10415	38189
255	10519	38380
256	10550	38303
257	10645	38456
258	10676	38377
259	10780	38559
260	10803	38454
261	10957	38810
262	10984	38717
263	11075	38847
264	11177	39015
265	11206	38927
266	11239	38855
267	11291	38845
268	11313	38735
269	11346	38660
270	11395	38642
271	11498	38807
272	11516	38683
273	11626	38867
274	11650	38762
275	11757	38937
276	11785	38844
277	11892	39015
278	11943	38997
279	12050	39165
280	12074	39060
281	12162	39161
282	12185	39052
283	12259	39108
284	12278	38988
285	12310	38911
286	12362	38897
287	12402	38842
288	12420	38723
289	12443	38617
290	12479	38554
291	12535	38551
292	12555	38437
293	12592	38376
294	12641	38351
295	12669	38264
296	12740	38307
297	12761	38198
298	12801	38146
299	12848	38118
300	12876	38031
301	12913	37970
302	12961	37943
303	12981	37834
304	13010	37750
305	13069	37757
306	13090	37651
307	13104	37527
308	13113	37389
309	13122	37250
310	13131	37113
311	13140	36978
312	13149	36843
313	13158	36708
314	13168	36578
315	13179	36453
316	13189	36322
317	13196	36187
318	13204	36053
319	13212	35920
320	13219	35788
321	13227	35656
322	13235	35527
323	13243	35397
324	13251	35270
325	13260	35144
326	13268	35016
327	13275	34888
328	13283	34763
329	13290	34636
330	13297	34510
331	13305	34384
332	13312	34259
333	13319	34135
334	13326	34012
335	13334	33890
336	13341	33770
337	13349	33649
338	13356	33528
339	13363	33409
340	13370	33290
341	13378	33171
342	13385	33054
343	13392	32937
344	13400	32821
345	13408	32706
346	13419	32601
347	13458	32564
348	13493	32515
349	13523	32456
350	13542	32371
351	13625	32436
352	13688	32457
353	13729	32423
354	13744	32328
355	13753	32220
356	13764	32117
357	13842	32170
358	13866	32097
359	13876	31993
360	13953	32043
361	13978	31973
362	14019	31938
363	14067	31922
364	14087	31842
365	14133	31820
366	14182	31805
367	14198	31714
368	14243	31689
369	14292	31676
370	14309	31589
371	14359	31575
372	14408	31558
373	14420	31462
374	14471	31451
375	14520	31435
376	14531	31337
377	14583	31327
378	14630	31306
379	14641	31210
380	14723	31263
381	14743	31184
382	14793	31170
383	14840	31149
384	14855	31060
385	14905	31046
386	14953	31028
387	14965	30934
388	14976	30838
389	15027	30824
390	15077	30809
391	15087	30713
392	15137	30698
393	15187	30683
394	15197	30587
395	15242	30561
396	15293	30547
397	15308	30462
398	15356	30444
399	15408	30432
400	15419	30339
401	15468	30321
402	15489	30249
403	15532	30219
404	15582	30202
405	15603	30130
406	15614	30039
407	15632	29962
408	15647	29878
409	15657	29787
410	15675	29710
411	15689	29626
412	15698	29533
413	15708	29443
414	15717	29351
415	15725	29258
416	15732	29163
417	15741	29072
418	15750	28982
419	15758	28891
420	15768	28802
421	15775	28710
422	15783	28619
423	15791	28528
424	15798	28438
425	15806	28347
426	15814	28257
427	15821	28167
428	15828	28078
429	15836	27989
430	15843	27900
431	15854	27818
432	15866	27738
433	15875	27654
434	15884	27568
435	15894	27487
436	15905	27406
437	15914	27324
438	15922	27239
439	15930	27154
440	15937	27069
441	15945	26984
442	15952	26899
443	15959	26814
444	15966	26731
445	15974	26648
446	15982	26565
447	15990	26483
448	15997	26402
449	16005	26319
450	16081	26351
451	16098	26285
452	16185	26332
453	16199	26262
454	16211	26187
455	16297	26232
456	16311	26163
457	16323	26089
458	16420	26151
459	16430	26075
460	16514	26115
461	16543	26067
462	17043	26761
463	17178	26877
464	17223	26854
465	17256	26810
466	17293	26774
467	17333	26740
468	17368	26700
469	17465	26756
470	17509	26729
471	17583	26748
472	17604	26686
473	17673	26696
474	17700	26644
475	17735	26602
476	17784	26583
477	17804	26520
478	17906	26579
479	17952	26554
480	17975	26495
481	18084	26563
482	18127	26533
483	18153	26479
484	18178	26425
485	18224	26399
486	18243	26334
487	18294	26316
488	18333	26282
489	18391	26274
490	18458	26277
491	18477	26214
492	18536	26206
493	18594	26197
494	18639	26170
495	18689	26150
496	18717	26098
497	18749	26053
498	18791	26022
499	18854	26019
500	18883	25969
501	18907	25912
502	18949	25880
503	18970	25820
504	18997	25768
505	19034	25730
506	19059	25675
507	19080	25616
508	19109	25566
509	19144	25526
510	19153	25450
511	19163	25376
512	19179	25310
513	19190	25239
